title,content,summary
Purdue President Mung Chiang’s end-of-year wrap-up on university successes,"summarize:WEST LAFAYETTE, Ind. —
As another successful year at Purdue University comes to a close, we invite you to revisit the remarkable achievements that have defined our last 12 months:
See 2023 Year in Review.
Media are encouraged to share, post and publish this content.",[{'summary_text': 'another successful year at Purdue University comes to a close . we invite you to revisit the remarkable achievements that have defined our last 12 months: See 2023 Year in Review.'}]
"CHL program focuses on taking control of Type 2 diabetes, prediabetes; register by Jan. 10","summarize:As part of the Healthy Boiler Program’s physical health pillar, the Center for Healthy Living (CHL) on Purdue’s West Lafayette campus offers a 14–week diabetes program multiple times throughout the year.
Taking Control of My Diabetes (TCMD) is open to all benefits-eligible employees (and dependents covered on a Purdue health plan) from West Lafayette, Purdue Northwest and Purdue Fort Wayne. The program is geared toward those living with Type 2 diabetes and prediabetes or those supporting someone with a diagnosis. The next session begins Jan. 17.
The 14-week virtual lifestyle management program covers a variety of topics related to Type 2 diabetes and prediabetes with a goal of equipping participants with the knowledge and resources needed to manage the disease as best as they can. As a result of the program, participants will understand what diabetes is and how lifestyle changes are part of managing blood glucose.
A pre- and post-program evaluation to measure knowledge and beliefs as well as satisfaction with the program are required.
Participants have access to expert services of the center’s health care professionals, including CHL pharmacists who are specially trained in medication therapy management, as well as program co-leaders Cheryl Laszynski, RN health coach at the CHL, and Megan Shidler, registered dietitian at the CHL.
Eligible participants will receive a glucose meter and test strips to check their blood glucose levels. *Program participants can continue to receive glucose testing supplies post-program if they continue to meet with a health coach on a monthly basis.
Many past program participants have seen improvement in their A1C (blood test that measures a patient’s blood glucose level over the past three months) and more.
Bruce Novak, a limited-term lecturer at Purdue Fort Wayne who has lived with Type 2 diabetes for over 10 years, shared that his experience with the course was exceptional and he benefited from the increased and reinforced knowledge gained throughout the program.
“Diabetes does not go on vacation,” he said. “The more you learn and apply, the better off you are. Diabetes is a constant battle.”
The upcoming session runs Jan. 17 to April 17. Those interested in participating should register by Jan. 10 via the Healthy Boiler Portal. Registration link can be found under the “Healthy Boiler Workshops” section on the portal’s home page. Hover over the “Taking Control of My Diabetes” square and hit “Submit” to register.
“I would highly recommend this class to any diabetic or someone who has been diagnosed as prediabetic,” said Leigh Ann Griffin, senior quality advisor at the Regenstrief Center for Healthcare Engineering. Griffin has lived with Type 2 diabetes for approximately 20 years and previously participated in the TCMD program. “I decided that I could benefit from a refresher course of ‘how to act like a diabetic’ by eating and cooking healthy and could use all the assistance I could get with motivating me to exercise. And I didn’t even have a working blood glucose meter anymore, and this class was giving us one for free! So, I signed up. Knowledge is power, and this class provides you with much needed knowledge to properly manage your diabetes.”
Healthy Boiler workshops and lifestyle programs are free to all benefits-eligible faculty and staff and their dependents.
*Individuals living with Type 1 diabetes are able to meet monthly with a health coach but are not required to participate in the 14-week Taking Control of My Diabetes program to take advantage of the test strips and blood glucose meter opportunity. Contact the CHL at 765-494-0111 for more information.
Questions
Questions about the Taking Control of My Diabetes wellness program should be directed to the CHL at 765-494-0111.",[{'summary_text': 'the 14-week virtual lifestyle management program covers a variety of topics related to Type 2 diabetes and prediabetes . participants will receive a glucose meter and test strips to check their blood glucose levels . a pre- and post-program evaluation to measure knowledge and beliefs as well as satisfaction with the program are required .'}]
Stay safe and injury-free this winter: Top tips for preventing falls and walking safely,"summarize:As the Indiana winter settles in, Environmental Health and Safety (EHS) is once again sharing safety and walking tips for navigating snowy and icy conditions. To avoid falls and injuries, EHS encourages the campus community to take the following precautions before heading out this season:
Plan ahead for routes and only take cleared and treated surfaces. Use pedestrian subwalks and skywalks to walk to buildings when possible.
Wear appropriate footwear. If wearing ice cleats, be sure to remove them indoors to avoid slipping.
Slow down and take shorter steps to help with traction.
Avoid carrying heavy or awkward loads.
Use handrails when using stairs or ramps.
Consider using an elevator, if available, as indoor stairs may also be wet due to tracked-in snow and ice. Falls on stairs can lead to severe injuries, especially when slippery conditions are present.
Use a door or seat to provide stability when getting in or out of a vehicle as parking lots may be slippery.
The Grounds department may be contacted at 765-494-3087 with questions or requests regarding all snow removal operations. Grounds will then coordinate with other departments to address those questions or requests. Building Services will be responsible for removing snow from building entrances, ramps, steps and sidewalks adjacent to buildings. Contact your building deputy with any questions.
Building Services is currently working to distribute self-serve ice melt buckets to many facilities across campus. Contact Dave Petros, occupational safety specialist, at petros@purdue.edu to request self-serve buckets for a building.
A winter walking safety infographic is also available to print on 11-by-17-inch paper for posting on noticeboards throughout campus buildings.
EHS, Grounds and Building Services are all part of the Administrative Operations organization. The organization supports the university through safe, reliable and transformative services. Informing the campus community on how to stay safe while traveling in winter conditions and assisting with snow removal are just a couple of ways the organization helps power Purdue.",[{'summary_text': 'ice cleats can be removed indoors to avoid slipping . falls on stairs can lead to severe injuries . use handrails when using stairs or ramps .'}]
Employees can now connect with their Purdue Retirement Program on Fidelity NetBenefits,"summarize:Beginning Jan. 1, the web addresses NetBenefits.com/Purdue and NetBenefits.com/PG will bring employees directly to the Fidelity NetBenefits login screen, allowing for a more direct access experience to easily:
Access individual account information and personalized planning resources.
Learn and act on your financial wellness goals.
Get timely updates and alerts.
Schedule a one-on-one meeting with a Fidelity retirement planner.
Additional Fidelity account resources:
Download the NetBenefits mobile app to access retirement account information on the go.
Watch this short video to learn how to get started on NetBenefits.
Schedule online or call 800-642-7131 to make an in-person or virtual one-on-one appointment with a Fidelity retirement planner.",[{'summary_text': 'the web addresses NetBenefits.com/Purdue and NetBents.org/PG will bring employees directly to the Fidelity NetBean login screen . Learn and act on your financial wellness goals .'}]
"Virtual HealthKick program focuses on physical activity, nutrition, more; register by Jan. 3","summarize:Offered by the Center for Healthy Living (CHL) on Purdue’s West Lafayette campus, HealthKick is a 6-week virtual education program that addresses physical activity, nutrition education, creating healthy habits and decreasing stress.
By increasing education around these topics, the program’s goals are to create long-term behaviors and establish ongoing relationships with the health coaches and dietitians at the CHL to improve overall wellness.
The next session begins Jan. 8 and is available to all benefits-eligible employees on the West Lafayette, Fort Wayne and Northwest (Hammond and Westville) campuses as well as dependents covered on a Purdue health plan.
The program is based on daily videos approximately five minutes in length. The videos are delivered via text or email (based on preference) Monday through Friday for the program’s six-week time period. Additionally, the program has three built-in one-on-one sessions with a health coach or dietitian at the CHL, which are established at the beginning of the program.
Participants are required to complete a survey at the end of each week that will help provide insight into the health journey of each individual. Health coaches receive the weekly surveys, can answer questions, and offer support and encouragement. Health coaches also will be available for in-person or telephonic health coaching appointments as needed.
“The HealthKick program helps us fulfill requests for more virtual and telephonic program options,” said Candace Shaffer, associate vice president of benefits and payroll in Human Resources. “The program supports our Healthy Boiler Program and its physical health pillar, which champions health education and more to help individuals achieve lasting physical health and well-being. We hope the program continues to be well-received by the Purdue community.”
The six-week program runs from Jan. 8 through Feb. 16 and follows the outline below:
Prior to the start of the program, participants will meet one-on-one with a health coach — either in person or via telephone. Those who meet in person have the option to establish their initial labs and InBody assessment at the CHL.
Week 1 – Topic: Movement and Water
Week 2 – Topic: Nutrition Label
Week 3 – Topic: All About Fats
Week 4 – Topic: All About Carbohydrates
Week 5 – Topic: All About Protein
Week 6 – Topic: Creating Habits to Last
Those interested in participating in the HealthKick program should register by Jan. 3 via the Healthy Boiler Portal. The registration link can be found under the Healthy Boiler Workshops section on the portal’s homepage. Hover over HealthKick and click “Submit” to register.
Healthy Boiler workshops are free to all benefits-eligible faculty and staff and their dependents. Any questions about HealthKick can be directed to the Center for Healthy Living at 765-494-0111.","[{'summary_text': 'the program addresses physical activity, nutrition education, creating healthy habits and decreasing stress . participants are required to complete a survey at the end of each week that will help provide insight into the health journey of each individual . health coaches receive the weekly surveys, can answer questions, and offer support and encouragement .'}]"
"Purdue reputation in space brings better understanding of the stars, planets and everything in between","summarize:WEST LAFAYETTE, Ind. —
Purdue University isn’t just the Cradle of Astronauts. Honoring decades of tradition, key discoveries from Purdue space scientists and engineers are advancing knowledge of the universe and missions to the moon or Mars.
Purdue Boilermakers in Space
Purdue University is the Cradle of Astronauts™
Dan Milisavljevic is an astronomer and an expert on star explosions. An associate professor of physics and astronomy in Purdue’s College of Science, Milisavljevic (pronounced mili-sahv-la-vich) leads a project team studying images from the James Webb Space Telescope of Cassiopeia A, a star explosion that happened ten thousand years ago.
More info: Star of wonder: Dazzling new image of supernova Cassiopeia A released by First Lady Jill Biden and Purdue astronomer
Source: Dan Milisavljevic, dmilisav@purdue.edu, available video (accessible with an Associated Press subscription)
Media contact: Brittany Steff, bsteff@purdue.edu
To help humans live on the moon or Mars, a Purdue experiment on the International Space Station is collecting the data needed to enable heat and air conditioning that can operate long term in reduced gravity and temperatures hundreds of degrees above or below what we experience on Earth. Issam Mudawar, Purdue’s Betty Ruth and Milton B. Hollander Family Professor of Mechanical Engineering, leads the project.
More info: Science enabling heat and air conditioning for long-term space habitats is almost fully available
Source: Issam Mudawar, mudawar@purdue.edu, available video
Media contact: Kayla Albert, wiles5@purdue.edu
Dan Cziczo, a professor and head of the Department of Earth, Atmospheric, and Planetary Sciences in Purdue’s College of Science, was part of a team that discovered significant amounts of metals from spacecraft may be impacting Earth’s atmosphere and ozone layer. Cziczo is an expert in atmospheric science who has spent decades studying this rarefied region.
More info: Signatures of the Space Age: Spacecraft metals left in the wake of humanity’s path to the stars
Source: Dan Cziczo, djcziczo@purdue.edu, available video
Media contact: Brittany Steff, bsteff@purdue.edu
David Arnas, a Purdue assistant professor of aeronautics and astronautics, studies how to design “parking spots” for satellites to help prevent collisions and overcrowding both in areas closer to Earth, where many of these available locations have already been taken, and in other parts of space that will soon see an increase in satellite population, such as the large area between Earth and the moon called the cislunar region.
More info: Space needs better ‘parking spots’ to stay usable — an engineer is finding them
Source: David Arnas, darnas@purdue.edu
Media contact: Kayla Albert, wiles5@purdue.edu
Michelle Thompson is a planetary scientist and expert in how asteroids, moons and other planetary bodies react with space — a process called space weathering. She is one of the first six humans — and the first woman — to analyze samples of asteroid Bennu brought to Earth by OSIRIS-REx. Thompson is an associate professor of earth, atmospheric, and planetary sciences in Purdue’s College of Science.
More info: Bringing home asteroids: Purdue scientist is among the first to examine asteroid pieces from NASA’s OSIRIS-REx mission
Source: Michelle Thompson, mthompson@purdue.edu, available video
Media contact: Brittany Steff, bsteff@purdue.edu
To prevent spacecraft from running into each other, Purdue engineer Carolin Frueh is investigating how to observe and keep track of all human-made objects and predict the impact of their potential damage in near-Earth orbits and the cislunar region. Frueh is the university’s Harold DeGroff, Jr., Associate Professor of Aeronautics and Astronautics.
More info: Preventing traffic accidents to the moon and back
Source: Carolin Frueh, cfrueh@purdue.edu, available video
Media contact: Kayla Albert, wiles5@purdue.edu
Purdue University is a public research institution with excellence at scale. Ranked among top 10 public universities and with two colleges in the top four in the United States, Purdue discovers and disseminates knowledge with a quality and at a scale second to none. More than 105,000 students study at Purdue across modalities and locations, with 50,000 in person on the West Lafayette campus. Committed to affordability and accessibility, Purdue’s main campus has frozen tuition 13 years in a row. See how Purdue never stops in the persistent pursuit of the next giant leap, including its first comprehensive urban campus in Indianapolis, the new Mitchell E. Daniels, Jr. School of Business, and Purdue Computes, at https://www.purdue.edu/president/strategic-initiatives.","[{'summary_text': ""more than 105,000 students study at Purdue across modalities and locations, with 50,000 in person on the west Lafayette campus . the university's main campus has frozen tuition 13 years in a row . a purdue experiment on the international space station is collecting the data needed to enable heat and air conditioning .""}]"
ADP W-2 location change in SuccessFactors,summarize:The ADP W-2 Services tile under Organizational Updates Additional Actions in SuccessFactors (where the ADP Registration Online W-2 Services Quick Reference Guide was previously located) has been removed. The QRG is housed in the View Company Documents tile under Quick Actions.,[{'summary_text': 'the QRG is housed in the View Company Documents tile under Quick Actions . the ADP Registration Online W-2 Services Quick Reference Guide was previously located .'}]
Purdue receives $25 million grant from Lilly Endowment,"summarize:WEST LAFAYETTE, Ind. —
Purdue University has received a five-year, $25 million grant from Indianapolis-based Lilly Endowment Inc. through its statewide initiative, College and Community Collaboration. The grant will support highly collaborative efforts with community partners to improve early childhood education, child care and transportation access in a seven-county region.
The grant will partially fund investments in and training for local child care centers to provide high-quality services to an additional 500 children in the region, and increase the capacity and availability of early childhood education in Greater Lafayette, including the Purdue campus.
“On behalf of our neighbors and as Indiana’s land-grant university, we thank Lilly Endowment for initiating this program for the state and for choosing our proposal with this generous grant. It is an essential catalyst for transformative change in child care in Greater Lafayette and the nearby region,” President Mung Chiang said. “The availability of early childhood education will be critical to the university’s ability to recruit faculty and staff with young families and to the region’s continued economic growth and job creation. There is no sustainable excellence in ‘gown’ without a vibrant ‘town.’”
The grant will also go toward efforts to improve access to various modes of transportation by supporting renovations at Purdue University Airport to enable commercial service; launch a series of van pools across the seven-county region, which will improve accessibility for workers; and invest in pedestrian safety and bike trail infrastructure, including the Wabash River Trail.
“This multifaceted approach to improve regional transportation will have wide-ranging benefits that improve the vibrancy of our community by boosting workforce development efforts,” Roberto Gallardo, Purdue vice president for engagement, said. “It will also enhance quality of life, which is essential to attracting and retaining talent.”
Purdue is one of six Indiana higher education institutions receiving implementation grants totaling $145.8 million through Lilly Endowment’s competitive initiative. Lilly Endowment anticipates making additional grants through the CCC initiative in 2024.
“In designing their proposed projects, it was evident that these colleges and universities engaged a wide-ranging group of community stakeholders to imagine and develop creative solutions to pressing campus and community needs,” said Jennett M. Hill, president of Lilly Endowment. “The institutions submitted proposals that revealed robust collaborative efforts reflective of the institutions’ willingness to learn from not only campus colleagues but from local residents and businesses to help shape projects with promising potential to enhance the quality of life on their campuses and in their local communities.”
Lilly Endowment launched College and Community Collaboration in early 2023. The initiative is designed to encourage Indiana’s colleges and universities to work closely with community stakeholders to envision and jointly undertake significant community development efforts to create more vibrant places in which to live, learn, work and play.
“We were very appreciative to be part of the planning group that worked with Purdue to outline the needs of the Greater Lafayette region and pleased with the proposal that Purdue put forward. Thank you to Lilly Endowment for funding the proposal and we are looking forward to working together as a region with Purdue University.”
— Scott Walker, president and CEO, Greater Lafayette Commerce
“According to Early Learning Indiana, Carroll County ranks 91st out of 92 counties in childcare access and capacity. This investment will fundamentally change the childcare landscape in Carroll County. It will unquestionably reach the communities that need it the most.”
— Jacob Adams, executive director/CEO, Carroll County Economic Development Corp.
“The Covington Circle Trail Expansion Project and associated amenities will encourage economic development, celebrate local history and culture, attract tourists, and improve public health through active lifestyles and healthy habits, and foster a sense of community among our residents.”
— Dale White, chief executive officer, Western Indiana Community Foundation
Purdue University is a public research institution with excellence at scale. Ranked among top 10 public universities and with two colleges in the top four in the United States, Purdue discovers and disseminates knowledge with a quality and at a scale second to none. More than 105,000 students study at Purdue across modalities and locations, with 50,000 in person on the West Lafayette campus. Committed to affordability and accessibility, Purdue’s main campus has frozen tuition 13 years in a row. See how Purdue never stops in the persistent pursuit of the next giant leap, including its first comprehensive urban campus in Indianapolis, the new Mitchell E. Daniels, Jr. School of Business, and Purdue Computes, at https://www.purdue.edu/president/strategic-initiatives.
Lilly Endowment Inc. is an Indianapolis-based, private foundation created in 1937 by J. K. Lilly and his sons, Eli and J.K. Jr., through gifts of stock in their pharmaceutical business, Eli Lilly and Company. While those gifts remain the financial bedrock of the Endowment, the Endowment is a separate entity from the company, with a distinct governing board, staff and location. In keeping with its founders’ wishes, the Endowment supports the causes of community development, education, and religion, and it maintains a special commitment to its hometown, Indianapolis, and home state, Indiana.","[{'summary_text': 'the five-year, $25 million grant will support efforts to improve early childhood education, child care and transportation access in a seven-county region . the grant will partially fund investments in and training for local child care centers .'}]"
Purdue University’s top media stories of 2023,"summarize:WEST LAFAYETTE, Ind. —
Purdue University experts, research, innovation, announcements and more were viewed a potential 121.1 billion times in 2023 as a result of being featured in 90,170 media stories worldwide, an increase of 16% from the 77,323 placements in 2022.
Highlights included appearances on 60 Minutes, NBC’s TODAY Show, BBC, NPR’s Morning Edition, The Economist, Fast Company, The Wall Street Journal, Washington Post Live and the front page of The New York Times.
“Media mentions at Purdue are rising day-over-day, month-over-month and year-over-year,” said Tim Doty, senior director of media and public relations. “Earned media is just that — not paid, not guaranteed — rather, it’s earned by a team of professionals who have built trust with an ever-growing, international network of journalists. It all starts with having great stories to tell, but our people excel at bringing strategy and authenticity to their media relations.”
The following are Purdue’s top 2023 news topics as of today (Dec. 19), ranked by audience reach:
Purdue University launches its urban campus in Indianapolis.
767 Placements: Forbes, The Chronicle of Higher Education, Inside Higher Ed, The Indianapolis Star
Audience reach: 459 million potential views
Luna Lu’s sensors that determine the strength of concrete are being implemented nationwide.
294 Placements: TIME, Interesting Engineering, WFAA (Dallas), Indianapolis Business Journal
Audience reach: 669.7 million potential views
Nusrat Jung discovers dangerous chemicals in hair care products can linger in the air in surprising amounts.
206 Placements: Axios, Daily Mail, U.S. Sun, Tech Crunch, Earth.com
Audience reach: 882.6 million potential views
Gebisa Ejeta receives National Medal of Science from President Biden.
152 Placements: BBC, CNN
Audience reach: 2.3 billion potential views
Carolin Frueh shares space junk research and speaks with media about potential fines for littering in space.
290 Placements: CNN, NPR, Popular Science, Axios, Gizmodo
Audience reach: 3.8 billion potential views
The world’s whitest paint is now thinner and lighter than ever.
1,392 Placements: The New York Times, CNN, Politico, Inside Edition
Audience reach: 4.3 billion potential views
Former St. Louis Fed head Jim Bullard sought as national expert on economy.
1,266 placements: Associated Press, Bloomberg, CNBC, Fox Business, The Wall Street Journal
Audience reach: 4.8 billion potential views
Purdue is driving the future of workforce development for the semiconductor industry.
4,655 placements: The New York Times, The Economist, The Washington Post, Associated Press, NPR
Audience reach: 8 billion potential views
Lead James Webb Space Telescope researcher Danny Milisavljevic reveals new images of Cassiopeia A supernova.
2,046 placements: 60 Minutes, Associated Press, CNN, Fox News, Popular Science
Audience reach: 8.7 billion potential views
Andrew Whelton offers expertise after Maui wildfires, Ohio train derailment.
5,427 placements: BBC, CNN, NBC, CBS Sunday Morning, The Washington Post, Associated Press
Audience reach: 12.7 billion potential views","[{'summary_text': 'viewed a potential 121.1 billion times in 2023 as a result of being featured in 90,170 media stories worldwide . highlights included appearances on 60 Minutes, NBC’s TODAY Show, BBC, NPR’s Morning Edition, The Economist, Fast Company and the front page of the new york times .'}]"
Racing executives cite critical workforce need during visit to Purdue University in Indianapolis,"summarize:INDIANAPOLIS, Ind. —
At the first motorsports symposium at Purdue University in Indianapolis, a wide array of topics were on the table. While machine learning and AI, electrification and hybrid technologies, driver safety, and autonomous racing were all discussed, one thing was made clear: the critical need for a skilled workforce.
Purdue University in Indianapolis motorsports engineering students and graduates took the first step toward filling that void by connecting in person with potential employers on Dec. 6 at the Lilly Auditorium in Indianapolis. Spearheaded by motorsports engineering program director Chris Finch and associate professor Hamid Dalir, the symposium put Boilermakers in front of industry leaders from racing teams like Andretti Global, manufacturers like Dallara USA and Goodyear Racing, and cutting-edge innovators from the Auto Research Center.
“The goal of this symposium was to provide a platform for motorsport industry leaders to highlight the research and educational requirements of the industry,” Finch said. “It gave our faculty and students a great networking opportunity and better understanding of the unique technical nature of working in motorsports.”
Motorsports engineering program is fueling the industry’s future
Purdue University in Indianapolis: Launching Purdue’s first comprehensive urban campus and forming America’s Hard-Tech Corridor
Purdue’s Angela Ashmore Makes History as First Woman IndyCar Crew Member to Win Indy 500 – The Persistent Pursuit
During the symposium, which included keynote presentations, a question-and-answer panel and several informal networking opportunities, the workforce subject repeatedly arose. Alex Timmermans, chief engineer at Dallara USA, said finding qualified applicants was one of his biggest challenges. Other panelists, such as Henri Kowalczyk, echoed those sentiments.
“In my 20 years, the hardest part of my job has been finding skilled talent,” said Kowalczyk, chief operating officer at Auto Research Center. “It definitely helps knowing the background of the (Purdue) program as these students rise to the top of our resume list.”
Purdue University in Indianapolis has helped address workforce concerns as the nation’s only ABET-accredited undergraduate motorsports engineering program. Between its campuses in Indianapolis and West Lafayette, Purdue has propelled students and graduates to impactful careers in the highest levels of racing, including NASCAR, IndyCar and the International Motor Sports Association.
That impact isn’t limited to just the track, as many have gone on to work for manufacturers in the motorsports space such as Cummins, a global power technology leader, and Dallara USA. At Dallara, five of its seven full-time engineers are graduates from the Purdue engineering programs in Indianapolis.
The motorsports industry’s influence is particularly felt in Indiana, where hundreds of employers and thousands of jobs, which exceed the state average wage, are located within the state’s borders. That leads to $2 billion in annual economic impact for the state, Rollie Helmling, senior advisor for motorsports at the Indiana Economic Development Corporation, told symposium attendees.
Thanks to world-class facilities like the Indianapolis Motor Speedway in Speedway and Lucas Oil Indianapolis Raceway Park in Brownsburg, nearly a dozen NTT IndyCar Series teams have offices in central Indiana, and several NHRA teams, like Tony Stewart Racing and John Force Racing, are based in the area. The headquarters for both Dallara USA and Allison Transmission are less than five miles from the physical footprint of what will become the Purdue University in Indianapolis campus in 2024.
“Being in such proximity to the heart of the motorsports industry is a real advantage that allows us to connect students with potential employers right in our backyard,” said Dan Hasler, chief operating officer of Purdue University in Indianapolis. “We can bring in students from all over the country to our motorsports engineering program, and they can stay to pursue their racing dreams right here in Indiana.”
Purdue University in Indianapolis is a new, fully integrated extension of the West Lafayette flagship campus, expanding the academic rigor and accessible excellence that Purdue is known for to Indiana’s industrial and technological center. As the only public top 10 university, most trusted university and most innovative university in the state of Indiana, Purdue is focused and committed to strengthening its presence in the capital city. Purdue University in Indianapolis will reimagine a collaborative platform that connects students, faculty and local businesses to promote breakthrough discoveries and create a new and direct talent pipeline. Realignment of the existing IUPUI partnership is expected to be completed by the start of the fall semester in 2024. Learn more about Purdue’s latest giant leap at https://www.purdue.edu/campuses/indianapolis/.","[{'summary_text': 'motorsports engineering students and graduates took the first step toward filling that void by connecting in person with potential employers . the symposium put Boilermakers in front of industry leaders from racing teams like Andretti Global, manufacturers like Dallara USA and Goodyear Racing .'}]"
