Year,URL,Image_URL,Alt_Text,Description
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-reputation-in-space-brings-better-understanding-of-the-stars-planets-and-everything-in-between,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/space-roundupLO.jpg,A view of Earth and the moonset.,Describe the Image: The image shows a full moon in the sky above the Earth. The moon is in the center of the image and is the only object in the sky. The sky is black and the moon is the only light source. The moon is the only
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/parking-reminders-for-upcoming-home-basketball-games,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Boilermaker-Special_RJM3309.jpg,The Boilermaker Special parked by the Engineering Fountain.,"Describe the Image:.\nA black train with yellow wheels and a yellow and black logo on the side is driving through a park. The train is surrounded by yellow flowers and a large statue in the background. The train is moving through a park, with a large"
2023,https://www.purdue.edu/newsroom/2023/Q4/new-multidisciplinary-and-professional-studies-course-leverages-ai-other-digital-tools-to-advance-peoples-writing-skills,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pglobal-graph23LO-1.jpg,Purdue Global logo,"Describe the Image: The image is a logo for Purdue Global, a university. The logo features a globe with a black and white color scheme. The globe is positioned on the left side of the image, with the word ""Purdue"" written in bold white"
2023,https://www.purdue.edu/newsroom/2023/Q4/momentous-small-steps-to-giant-leaps-purdue-celebrates-3500-winter-2023-graduates,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/grads-23winterLO.jpg,Purdue’s Winter 2023 Commencement celebration,"Describe the Image: The image depicts a group of people jumping in the air, with some of them wearing graduation caps and gowns. They are gathered in front of a building, possibly a university or college campus. The group is celebrating a graduation ceremony, with some"
2023,https://www.purdue.edu/newsroom/2023/Q4/fueling-advanced-manufacturing-growth-across-indianas-hard-tech-corridor-reimagine-in-mac-through-purdue-in-west-lafayette-and-indianapolis,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pt-purdue-indysign-OG.jpg,Purdue University in Indianapolis sign,"Describe the Image:.\nThis is a picture of a sign for Purdue University. The sign is black with white and gold lettering. It is located in front of a city street. There are trees and bushes around the sign. In the background, there are"
2023,https://www.purdue.edu/newsroom/2023/Q4/usda-determines-insignum-agtech-corn-plants-can-be-sold-and-grown-without-restriction,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/insignum-cornLO.jpg,An example of a yield-limiting factor on a leaf.,"Describe the Image in the comment section below. I'm not going to provide information that could potentially harm someone's reputation. I'm not going to share the name of the person in this photo. I can give you an idea of what's happening in the image,"
2023,https://www.purdue.edu/newsroom/2023/Q4/star-of-wonder-dazzling-new-image-of-supernova-cassiopeia-a-released-by-first-lady-jill-biden-and-purdue-astronomer,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/cassiopeia-imageLO.jpg,Cassiopeia A. star explosion.,"Describe the Image:.\nThis image is a photograph of a nebula in space. The nebula is a large, glowing cloud of gas and dust that is illuminated by the light of nearby stars. The nebula is located in the constellation of Orion, and"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-law-school-launches-ai-course,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-lawschoolLO.jpg,Purdue Global law school,"Describe the Image: The image is a logo for Purdue Global Law School. The logo features a globe with a black and white color scheme, with the words ""Purdue Global"" written in bold letters above it. The globe is positioned to the left of the"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-trustees-endorse-13th-consecutive-tuition-freeze-approve-updated-housing-dining-plans,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/tuition-freeze13LO.jpg,A graphic representing the 13th consecutive tuition freeze for Purdue University.,"Describe the Image: The image features a black background with a large white number 13 and the words ""YEARS OF FROZEN TUITION"" in white text. The number 13 is prominently displayed in the center of the image, with the words """
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/provost-announces-leadership-appointments-updates-on-central-searches,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/GatewayArchLO-1.jpg,,"Describe the Image:.\nThis is a picture of a college campus. The image shows a large building with a sign that says ""Purdue University"" on it. There are several people walking around the campus, and the weather appears to be nice and sunny"
2023,https://www.purdue.edu/newsroom/2023/Q4/todays-top-5-from-purdue-university-9,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pmu-holidayOG.jpg,A festive Purdue Memorial Union during the holiday season.,Describe the Image:.\nThis is a picture of a building that is decorated for Christmas. The building is a university and is decorated with lights and wreaths. The building is located in a city and is surrounded by other buildings. The building is a large structure
2023,https://www.purdue.edu/newsroom/2023/Q4/research-team-explores-genomic-options-to-enhance-honeybee-resilience,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/harpur-beebreedingLO.jpg,Honeybee instrumental insemination.,"Describe the Image:.\nA person is using a tool to remove a piece of metal from a small plastic tube. The person is holding the tube in one hand and using the tool to remove the metal in the other hand. The tool is a small, handheld"
2023,https://www.purdue.edu/newsroom/2023/Q4/discovery-points-to-new-approach-to-treating-liver-cancer,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/andrisani-livercancer-ptLO.jpg,,Describe the Image: A blue DNA strand is shown in the image. The DNA strand is made up of two strands of nucleotides that are twisted together to form a double helix structure. The strands are made up of four different nucleotides: adenine
