file_url,additional_feature
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-DSC0202.jpg,Gateway to the Future arch at Purdue University.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2022_RM18676.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-RJM5525.jpg,The Engineering Fountain during the winter season at Purdue University.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-2024_GMB5372.jpg,John Purdue statue
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/2017-Unfinished-Block-P.jpg,The unfinished Block P statue on the Purdue University campus.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/space-roundupLO.jpg,A view of Earth and the moonset.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/hovde-winterLO-3.jpg,A winter scene on the Purdue University campus.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-news-placementsLO.jpg,President Chiang
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/motorsports-workforceLO.jpg,A motorsports engineering student analyzing a steering wheel.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-2024_GMB5372.jpg,John Purdue statue
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Purdue-Students-2024_GMB6381.jpg,Purdue students studying.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Purdue-Arch-2023_KAL_4891.jpg,A view of the Purdue Arch from the flowers.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-2024_RR18110.jpg,A shot of the Purdue University campus during the winter season.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Boilermaker-Special_RJM3309.jpg,The Boilermaker Special parked by the Engineering Fountain.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-martin-award-800x533-1.jpg,martin-award
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-Memorial-Union-RJM5693.jpg,The Purdue Memorial Union during the winter season.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-2024_GMB5372.jpg,John Purdue statue
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-DSC4424.jpg,Trees and an academic building on Purdue University during the winter season.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pglobal-graph23LO-1.jpg,Purdue Global logo
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/foster-hovdeawardLO.jpg,Ken Foster
