file_url,additional_feature
https://www.purdue.edu/newsroom/wp-content/uploads/2024/09/lyles_porter.png,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/08/hovde.jpg,The exterior of Hovde Hall with yellow summer flowers in the foreground
https://www.purdue.edu/newsroom/wp-content/uploads/2024/09/AMA-LO.jpg,AMA Higher Education Marketing Team of the Year award graphic
https://www.purdue.edu/newsroom/wp-content/uploads/2024/08/collicott-stevenLO.jpg,"Steven Collicott, an aerospace engineer in the School of Aeronautics and Astronautics."
https://www.purdue.edu/newsroom/wp-content/uploads/2024/09/emergent-solar-coryaLO.jpg,Overhead view of a farm
https://www.purdue.edu/newsroom/wp-content/uploads/2024/09/fast-companyLO.jpg,Fast Company ranking logo
https://www.purdue.edu/newsroom/wp-content/uploads/2024/09/wsjthe-rankLO.jpg,Top 10 Public University in the U.S. Purdue graphic
https://www.purdue.edu/newsroom/wp-content/uploads/2024/09/white-marriottLO.jpg,"Unveiling the naming of the White Lodging-J.W. Marriott, Jr. School of Hospitality and Tourism Management"
https://www.purdue.edu/newsroom/wp-content/uploads/2024/09/microneedle-array-rahimiLO.jpg,Rahim Rahimi’s flexible biodegradable microneedle array
https://www.purdue.edu/newsroom/wp-content/uploads/2024/09/low-malariaLO.jpg,Purdue University professor Philip Low
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-DSC0202.jpg,Gateway to the Future arch at Purdue University.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-2022_RM18868.jpg,A winter scene on the Purdue University campus.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/gomez-prostateLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-RJM5525.jpg,The Engineering Fountain during the winter season at Purdue University.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Snowy-Boilermaker-Statue.jpg,The Boilermaker statue during the winter season at Purdue University.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-distinctionawardsLO.jpg,2022 Purdue Global Distinction Awards
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/low-cytaluxLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/werling-centerLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/reibman-robinsonLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/wiens-marsLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/ply-andersonOG.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/ileleji-juaLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/chiang-readigrantLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/purdueglobal-ivytechLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/lu-concreteLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/circuit-technologyOG-1.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/purdue-global-graphicLO.jpeg,Purdue Global logo graphic
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-DSC0202.jpg,Gateway to the Future arch at Purdue University.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-2022_RM18868.jpg,A winter scene on the Purdue University campus.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/campus-aerialLO.jpg,The Engineering Fountain on the Purdue University campus.
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/thompson-giftLO.jpg,
https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/cawla-honeycombLO.jpg,
